Step,tied_baseline_unclean_08_ls - eval/blimp_bias_total_increase,tied_baseline_unclean_05_ls - eval/blimp_bias_total_increase,tied_baseline_unclean - eval/blimp_bias_total_increase,tied_cosine_linear_08_08 - eval/blimp_bias_total_increase,tied_cosine_linear_05_05 - eval/blimp_bias_total_increase,tied_cosine_linear_08_10 - eval/blimp_bias_total_increase,tied_cosine_linear_02_10 - eval/blimp_bias_total_increase,tied_cosine_linear_05_10 - eval/blimp_bias_total_increase
0,-0.17665584287328800,-0.17665584287328800,-0.17665584287328800,-0.17665584287328800,-0.17665584287328800,-0.17665584287328800,-0.17665584287328800,-0.17665584287328800
25000,0.023788120003153300,0.021839173264305700,0.07183050138748300,0.035052336060262100,-0.006174589950140750,0.036648044099793300,-0.05653215970602520,-0.014268353137938100
50000,0.056039932054389200,0.031228141187367100,0.07878797819996190,0.025686410437891100,-0.0184831644003024,0.05672322931204870,-0.009844082078421020,0.00763392800273488
75000,0.05908261846777910,0.021148225870923400,0.07783620253052020,0.03863795237615920,-0.003317126417424540,0.057252363699536200,0.018307004518255200,0.009818018778188550
100000,0.0632502998399479,0.0255861775785573,0.09230329838358490,0.0339106164804438,-0.004481118689684700,0.056686793530498400,0.018300376697966800,0.02566138093978340
125000,0.06007393132514510,0.03096813995300720,0.09598496640355600,0.03462096489369940,-0.0004054801666842910,0.05452372339824670,0.019744368532354400,0.027153099972260800
150000,0.058347240556415700,0.02098200197596350,0.09030943868576460,0.02762890165680470,0.0008392635382045160,0.06278263073211830,0.034008149967563300,0.03637393720977660
175000,0.0621323577089975,0.03221049442631910,0.10737245762068900,0.0305542285556617,-0.00028291718145712100,0.07272505036597800,0.038330109076806800,0.049372666471691600
200000,0.05464173765412540,0.026588184544568700,0.09820782475868560,0.02887430010303900,-0.0016633646452469700,0.07447981460573780,0.051869918884094600,0.05691232320734490
